企业名称,线索id,线索标题,线索链接,作品ID,作品名,掌柜名,店铺名,店铺链接,线索入库时间,开店时间,"店铺状态（是否还存在,1表示还1着2,0表示0店了）",线索是否下架
上海润米科技有限公司,32657656,90分官方旗舰店行李箱男旅行箱结实耐用静音万向轮学生密码箱女大,https://item.taobao.com/item.htm?id=761546487166,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/4 11:41,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32638569,90分官方旗舰店网红行李箱男女20寸小型万向轮拉杆皮箱24寸大学生,https://item.taobao.com/item.htm?id=761546539415,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:42,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32657638,90分官方旗舰店超大容量密码行李箱32寸男ins网红万向轮拉杆箱26,https://item.taobao.com/item.htm?id=761546807469,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/4 11:41,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32638277,90分官方旗舰店行李箱男生拉杆箱女大容量结实耐用加厚旅行密码皮,https://item.taobao.com/item.htm?id=761546959875,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32638588,90分官方旗舰店行李箱男女大容量旅行拉杆箱24寸新款耐用结实登机,https://item.taobao.com/item.htm?id=761547215079,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:42,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32657648,90分官方旗舰店行李箱旅行箱大容量小型20拉杆箱万向轮24女男学生,https://item.taobao.com/item.htm?id=761547275525,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/4 11:41,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32638298,90分官方旗舰店拉杆箱行李箱旅行箱万向轮铝框20女男学生结实耐用,https://item.taobao.com/item.htm?id=761547299410,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,已下架
上海润米科技有限公司,33013337,90分行李箱PC学生结实耐用学生拉杆箱24寸超轻旅行箱,https://item.taobao.com/item.htm?id=762040716870,197430,90,韩果果tb,Mi生态链箱包,https://shop116523662.taobao.com,2024/8/2 11:37,2015/1/23 19:20,1,已下架
上海润米科技有限公司,32638405,小米90分官方正品前置开口行李箱女拉杆箱男小型20寸轻便密码旅,https://item.taobao.com/item.htm?id=762917484979,197430,90,小 米90分行李箱 企业店,小 米90分行李箱 企业店,https://shop524339337.taobao.com,2024/7/3 11:39,,1,已下架
上海润米科技有限公司,32657645,小米90分官方正品多功能行李箱女拉杆箱男铝框可充电大容量旅行,https://item.taobao.com/item.htm?id=763020729621,197430,90,小 米90分行李箱 企业店,小 米90分行李箱 企业店,https://shop524339337.taobao.com,2024/7/4 11:41,,1,未下架
上海润米科技有限公司,32638346,小米90分官方正品大容量铝框行李箱多功能拉杆箱30寸皮箱万向轮,https://item.taobao.com/item.htm?id=763071239894,197430,90,小 米90分行李箱 企业店,小 米90分行李箱 企业店,https://shop524339337.taobao.com,2024/7/3 11:39,,1,已下架
上海润米科技有限公司,32638310,90分七道杠登机行李箱托拉杆箱莱茵河系列商务热销,https://item.taobao.com/item.htm?id=764690694689,197430,90,Mi生态链箱包,Mi生态链箱包,https://shop116523662.taobao.com,2024/7/3 11:39,2015/1/23 19:20,1,未下架
上海润米科技有限公司,32818591,90分旅行箱行李箱24寸拉杆箱男学生女20寸万向轮登机箱旅行箱密码,https://item.taobao.com/item.htm?id=768498851220,197430,90,康欧商行,荣汇智选箱包店,https://shop375739852.taobao.com,2024/7/18 11:29,,1,已下架
上海润米科技有限公司,32818330,行李箱拉杆箱万向轮2旅行箱大容量密码箱,https://item.taobao.com/item.htm?id=769014341034,197430,90,tb248041598,来自广西南宁,https://shop587777101.taobao.com,2024/7/18 11:13,2024/2/20 22:42,1,未下架
上海润米科技有限公司,32818636,90分2023新款旅行李箱男女学生拉杆箱万向轮大容量结实密码皮箱,https://item.taobao.com/item.htm?id=769359193063,197430,90,tb718224209,大聚惠,https://shop294198387.taobao.com,2024/7/18 11:31,,1,已下架
上海润米科技有限公司,32818627,90分2023新款旅行李箱男女学生拉杆箱万向轮大容量结实密码皮箱,https://item.taobao.com/item.htm?id=769538294286,197430,90,等灯等灯灯等灯,退货免运,https://shop166980657.taobao.com,2024/7/18 11:31,,1,未下架
上海润米科技有限公司,32638443,90分丨NinetyGO行李箱「触动系列」拉杆箱十大品牌20寸出差登机箱,https://item.taobao.com/item.htm?id=770021644716,197430,90,华泽行李箱至尊店,华泽行李箱至尊店,https://shop360848991.taobao.com,2024/7/3 11:40,,1,未下架
上海润米科技有限公司,32718992,90分七道杠莱茵河拉杆箱旅行箱静音万向轮20寸24寸商务出差行李箱,https://item.taobao.com/item.htm?id=771038470467,197430,90,90米家优选,90米家优选,https://shop218515509.taobao.com,2024/7/11 10:36,2018/2/23 18:50,1,已下架
上海润米科技有限公司,32638448,90分丨NinetyGO儿童行李箱「宝宝的第一个旅行箱」万向轮女孩男孩,https://item.taobao.com/item.htm?id=772271820881,197430,90,欣光全小店,欣光全小店,https://shop545677468.taobao.com,2024/7/3 11:40,,1,已下架
上海润米科技有限公司,32818315,90分行李箱20寸登机密码箱男士24寸拉杆箱女26寸新款旅行箱飞,https://item.taobao.com/item.htm?id=772925940810,197430,90,tb0871719564,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/18 11:13,,1,已下架
上海润米科技有限公司,32818339,90分复古手提行李箱16寸密码旅行登机箱小型便携洗漱收纳化妆,https://item.taobao.com/item.htm?id=772927416210,197430,90,tb0871719564,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/18 11:13,,1,已下架
上海润米科技有限公司,32818272,90分多功能行李箱拉杆箱女铝框款20寸登机箱皮箱24寸密码箱旅,https://item.taobao.com/item.htm?id=772928028908,197430,90,tb0871719564,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/18 11:13,,1,未下架
上海润米科技有限公司,32638374,90分行李箱旅行箱超大容量100寸特大号拉杆箱80寸女男生密码,https://item.taobao.com/item.htm?id=772931532258,197430,90,品牌箱包线上甄选,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/3 11:39,,1,已下架
上海润米科技有限公司,32638347,90分特价防水牛津布旅行箱24拉杆箱22万向轮密码箱行李拖箱男,https://item.taobao.com/item.htm?id=772932268820,197430,90,品牌箱包线上甄选,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/3 11:39,,1,已下架
上海润米科技有限公司,32638418,90分行李箱女小型轻便多功能20寸密码拉杆箱小清新2024新款短,https://item.taobao.com/item.htm?id=772964431877,197430,90,品牌箱包线上甄选,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/3 11:39,,1,未下架
上海润米科技有限公司,32638391,90分行李箱女2024新款拉杆箱学生密码箱女18寸旅行箱男超轻小,https://item.taobao.com/item.htm?id=772964963068,197430,90,品牌箱包线上甄选,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/3 11:39,,1,已下架
上海润米科技有限公司,32638406,90分网红行李箱大容量拉杆箱女旅行箱密码箱皮箱男30寸学生拉,https://item.taobao.com/item.htm?id=772970238443,197430,90,品牌箱包线上甄选,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/3 11:39,,1,已下架
上海润米科技有限公司,32638423,90分行李箱网红ins20寸小型学生万向轮旅行箱子母箱男女潮拉,https://item.taobao.com/item.htm?id=772976818522,197430,90,品牌箱包线上甄选,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/3 11:39,,1,未下架
上海润米科技有限公司,32638325,90分行李箱男小20寸登机皮箱拉杆箱女箱子密码箱新款旅行箱结,https://item.taobao.com/item.htm?id=772985357805,197430,90,品牌箱包线上甄选,品牌箱包线上甄选,https://shop458458641.taobao.com,2024/7/3 11:39,,1,已下架
上海润米科技有限公司,32657660,90分铝框行李箱24英寸旅行箱大容量26英寸密码箱小型登机箱黑色24,https://item.taobao.com/item.htm?id=773983921192,197430,90,万邦正品商城,万邦正品商城,https://shop236175932.taobao.com,2024/7/4 11:41,,1,未下架
上海润米科技有限公司,32657652,90分行李箱男女万向轮大容量密码箱轻音多功能拉杆箱商务高颜值旅,https://item.taobao.com/item.htm?id=774040094303,197430,90,万邦正品商城,万邦正品商城,https://shop236175932.taobao.com,2024/7/4 11:41,,1,已下架
上海润米科技有限公司,32638452,90分丨NinetyGO儿童行李箱「宝宝的第一个旅行箱」万向轮女孩男孩,https://item.taobao.com/item.htm?id=777502675128,197430,90,d[s374427178],d[s374427178],https://shop374427178.taobao.com,2024/7/3 11:40,,1,已下架
上海润米科技有限公司,32638403,小米90分官方正品旅行箱行李箱拉杆箱万向轮20女男学生登机箱24密,https://item.taobao.com/item.htm?id=780166587300,197430,90,小 米90分专柜精选,小 米90分专柜精选,https://shop363580293.taobao.com,2024/7/3 11:39,2024/3/28 21:32,1,未下架
上海润米科技有限公司,32657625,小米90分官方正品大容量行李箱男28寸结实耐用牛津布密码箱女出国,https://item.taobao.com/item.htm?id=780167923691,197430,90,小 米90分专柜精选,小 米90分专柜精选,https://shop363580293.taobao.com,2024/7/4 11:41,2024/3/28 21:32,1,已下架
上海润米科技有限公司,32719033,小米90分官方正品2024新款行李箱女20寸小型静音轮拉杆箱男24结实,https://item.taobao.com/item.htm?id=780170419633,197430,90,小 米90分专柜精选,小 米90分专柜精选,https://shop363580293.taobao.com,2024/7/11 10:36,2024/3/28 21:32,1,已下架
上海润米科技有限公司,32638583,小米90分官方正品万向轮铝框行李箱32寸大容量收纳袋整理学生旅行,https://item.taobao.com/item.htm?id=780170619907,197430,90,小 米90分专柜精选,小 米90分专柜精选,https://shop363580293.taobao.com,2024/7/3 11:42,2024/3/28 21:32,1,未下架
上海润米科技有限公司,32638269,小米90分官方正品前开商务出差行李箱20寸登机密码箱男女士24寸拉,https://item.taobao.com/item.htm?id=780205494390,197430,90,小 米90分专柜精选,小 米90分专柜精选,https://shop363580293.taobao.com,2024/7/3 11:39,,1,未下架
上海润米科技有限公司,32638362,小米90分官方正品行李箱男女大容量密码旅行拉杆箱结实耐用加厚24,https://item.taobao.com/item.htm?id=780206734021,197430,90,小 米90分专柜精选,小 米90分专柜精选,https://shop363580293.taobao.com,2024/7/3 11:39,2024/3/28 21:32,1,未下架
上海润米科技有限公司,32657629,小米90分官方正品高颜值行李箱女20寸小型密码箱24耐用结实静音万,https://item.taobao.com/item.htm?id=780208454061,197430,90,小 米90分专柜精选,小 米90分专柜精选,https://shop363580293.taobao.com,2024/7/4 11:41,2024/3/28 21:32,1,已下架
