企业名称,线索id,线索标题,线索链接,作品ID,作品名,维权状态,掌柜名,店铺名,店铺链接,线索入库时间,店铺状态,开店时间,店铺类型
山下有松（北京）文化传播有限公司,32572932,【山下有松】巧克力包系列云吞锁扣设计师新款头层牛皮链条小方包,https://item.taobao.com/item.htm?id=807731405229,199423,Songmont,维权成功,小悦代购店,小悦代购店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMyA4BtVwPzG7E7jdbzUprEGKsQdnhmjGt8G9CLDFXZrV,2024/6/30 9:48,0,,未知
山下有松（北京）文化传播有限公司,32163719,Songmont女士腰带双面自由搭配裤带设计师新款头层牛皮装饰皮带,https://item.taobao.com/item.htm?id=754697653218&skuId=5372816822533,199423,Songmont,维权成功,小晓柯国际店,d[s599706599],https://shop599706599.taobao.com,2024/5/10 19:52,1,2023/5/7 16:12,老店
山下有松（北京）文化传播有限公司,32572964,山下有松2024新款挂耳系列mini屋檐包春夏头层牛皮通勤斜挎hobo包,https://item.taobao.com/item.htm?id=808545683650,199423,Songmont,维权成功,小可女包代购,小可女包代购,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXHBqVJ1DFVuo7uedzBxqsa2GxjSkarGKu5taZxxceb9E,2024/6/30 9:48,1,2023/11/16 20:44,老店
山下有松（北京）文化传播有限公司,32572946,山下有松【卢昱晓同款】2024春夏季山行系列老花游历公文包双肩包,https://item.taobao.com/item.htm?id=808797531172,199423,Songmont,维权成功,小可女包代购,小可女包代购,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXHBqVJ1DFVuo7uedzBxqsa2GxjSkarGKu5taZxxceb9E,2024/6/30 9:48,1,2023/11/16 20:44,老店
山下有松（北京）文化传播有限公司,32572963,李娜同款山下有松2024新款循迹系列hobo包植鞣牛皮单肩斜挎软包,https://item.taobao.com/item.htm?id=808812269843,199423,Songmont,维权成功,小可女包代购,小可女包代购,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXHBqVJ1DFVuo7uedzBxqsa2GxjSkarGKu5taZxxceb9E,2024/6/30 9:48,1,2023/11/16 20:44,老店
山下有松（北京）文化传播有限公司,32572923,山下2024新款有松菜篮子包牛皮大容量水桶包高级休闲手提斜挎女包,https://item.taobao.com/item.htm?id=797640564301,199423,Songmont,维权成功,香港轻奢品牌包店,香港轻奢品牌包店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRKvsWB1GGSQcgdgHAYXeGcf2yYnsRwxD7UkVdyhqAGLC,2024/6/30 9:48,0,,未知
山下有松（北京）文化传播有限公司,32572992,2024新款山下hobo有松屋檐包挂耳系列牛皮单肩斜挎包通勤mini女包,https://item.taobao.com/item.htm?id=798432378250,199423,Songmont,维权成功,香港轻奢品牌包店,香港轻奢品牌包店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRKvsWB1GGSQcgdgHAYXeGcf2yYnsRwxD7UkVdyhqAGLC,2024/6/30 9:48,0,,未知
山下有松（北京）文化传播有限公司,32572973,山下2024新款有松挂耳系列小号牛仔行囊hobo包通勤单肩手提斜挎包,https://item.taobao.com/item.htm?id=803192686823,199423,Songmont,维权成功,香港轻奢品牌包店,香港轻奢品牌包店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRKvsWB1GGSQcgdgHAYXeGcf2yYnsRwxD7UkVdyhqAGLC,2024/6/30 9:48,0,,未知
山下有松（北京）文化传播有限公司,32559718,Songmont卢昱晓同款山下有松坐忘系列陶桶包秋冬新肩大容量水桶包,https://item.taobao.com/item.htm?id=805206533131,199423,Songmont,维权成功,西西小袋top1,西西小袋top1,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWPe6SEYpNCkR5nZtr77UaTi2jqSVDEmRF3zzm8gafztmT,2024/6/28 22:39,0,,未知
山下有松（北京）文化传播有限公司,32164109,Songmont山下有松小号行囊hobo包半日闲国风老花系列单肩斜挎包,https://item.taobao.com/item.htm?id=787292891984&skuId=5373529516417,199423,Songmont,维权成功,我是美女丁丁01,HK品牌包包2024新款,https://shop578846109.taobao.com,2024/5/10 21:32,0,,未知
