企业名称,线索id,线索标题,线索是否下架,线索链接,作品ID,作品名,掌柜名,店铺名,店铺链接,线索入库时间,开店时间,"店铺状态（是否还存在,1表示还开着2,0表示关店了）"
圣智学习（北京）教育科技有限公司,33158544,通途英语 1 听说与思辨 程晓堂 江苏凤凰教育出版,已下架,https://item.taobao.com/item.htm?id=821595562555,200468,通途英语 听说与思辩 1,两个半愿望,中国前门书店,https://shop68734886.taobao.com,2024/8/15 20:40,2011/9/9 10:35,1
圣智学习（北京）教育科技有限公司,33082452,【正版图书】通途英语听说与思辨19787549997985,已下架,https://item.taobao.com/item.htm?id=822909968353,200468,通途英语 听说与思辩 1,eagleofchina,悦知轩书店,https://shop71691167.taobao.com,2024/8/9 17:20,2012/5/1 11:30,1
圣智学习（北京）教育科技有限公司,33099417,通途英语 1 听说与思辨 程晓堂,已下架,https://item.taobao.com/item.htm?id=823435294535,200468,通途英语 听说与思辩 1,童趣可爱多,童趣書箼,https://shop60496758.taobao.com,2024/8/11 17:22,2010/2/1 21:02,1
圣智学习（北京）教育科技有限公司,33125755,通途英语 听说与思辨1,已下架,https://item.taobao.com/item.htm?id=823900202091,200468,通途英语 听说与思辩 1,名扬汇品,子木m,https://shop111662548.taobao.com,2024/8/13 20:34,2014/6/23 15:51,1
圣智学习（北京）教育科技有限公司,33099418,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰教育,已下架,https://item.taobao.com/item.htm?id=823914161538,200468,通途英语 听说与思辩 1,tb22443474,群阅书屋,https://shop104173949.taobao.com,2024/8/11 17:22,2013/5/15 23:47,1
圣智学习（北京）教育科技有限公司,33182561,通途英语 1 听说与思辨 程晓堂,已下架,https://item.taobao.com/item.htm?id=825383523422,200468,通途英语 听说与思辩 1,嘿嘿9579,嘿嘿书屋,https://shop137563856.taobao.com,2024/8/17 21:28,2015/10/23 15:39,1
圣智学习（北京）教育科技有限公司,33182562,通途英语听说与思辨1,已下架,https://item.taobao.com/item.htm?id=825695793762,200468,通途英语 听说与思辩 1,精品名鞋_2009,博文古旧书屋,https://shop57908449.taobao.com,2024/8/17 21:28,2009/4/17 18:11,1
圣智学习（北京）教育科技有限公司,33202602,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰教育,已下架,https://item.taobao.com/item.htm?id=826047345439,200468,通途英语 听说与思辩 1,zcl啊浪,环球书屋,https://shop508535306.taobao.com,2024/8/19 21:29,2017/3/25 14:28,1
圣智学习（北京）教育科技有限公司,33202607,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰教育,已下架,https://item.taobao.com/item.htm?id=826193666572,200468,通途英语 听说与思辩 1,朱一刀百货店,金雷书社,https://shop575744071.taobao.com,2024/8/19 21:29,2021/7/13 11:56,1
圣智学习（北京）教育科技有限公司,33268012,通途英语 1 听说与思辨 程晓堂,已下架,https://item.taobao.com/item.htm?id=827956178594,200468,通途英语 听说与思辩 1,新佰威服饰,新佰书屋,nan,2024/8/25 22:12,NaT,0
圣智学习（北京）教育科技有限公司,33313933,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰,已下架,https://item.taobao.com/item.htm?id=828115851794,200468,通途英语 听说与思辩 1,丹丹商会,轻舟书店,https://shop61033872.taobao.com,2024/8/29 22:44,2010/4/11 20:08,1
圣智学习（北京）教育科技有限公司,33268013,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰教育,已下架,https://item.taobao.com/item.htm?id=828194869708,200468,通途英语 听说与思辩 1,七色甲天下,板方图书,https://shop390982438.taobao.com,2024/8/25 22:12,2017/2/19 17:06,1
圣智学习（北京）教育科技有限公司,33333279,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=830512022089,200468,通途英语 听说与思辩 1,柴派办公用品店,云飞图书,https://shop140130933.taobao.com,2024/9/2 19:47,2015/10/30 18:26,1
圣智学习（北京）教育科技有限公司,33333280,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=830517380926,200468,通途英语 听说与思辩 1,zhishensky,半熟知识,https://shop60806620.taobao.com,2024/9/2 19:47,2010/3/21 1:09,1
